,Unnamed: 0,tweet,hash,stopped,lemmaed
6606,6606,websitenut lisam3732 either a the house contempt of congress or b us,goodfridaymarch,websitenut lisam3732 either house contempt congress b us,websitenut lisam3732 either house contempt congress b u
6607,6607,kamalaharris serious question as a constituent do you prefer hemp cotton or polyester robe,askingformycountry,kamalaharris serious question constituent prefer hemp cotton polyester robe,kamalaharris serious question constituent prefer hemp cotton polyester robe
6608,6608,i voted on tyltsports and tictoc they bring in all the money,paystudentathletes,voted tyltsports tictoc bring money,voted tyltsports tictoc bring money
6609,6609,this is going to make the bible thumping heads explode how dare they not let us commit murder,prolife,going make bible thumping heads explode dare let us commit murder,going make bible thumping head explode dare let u commit murder
6610,6610,btstwt,btsarmy,btstwt,btstwt
6611,6611,prahladspatel mangaldada1 bjp4india bjp4mp aman777ar,namoagain2019,prahladspatel mangaldada1 bjp4india bjp4mp aman777ar,prahladspatel mangaldada1 bjp4india bjp4mp aman777ar
6612,6612,heard this couple has come from canada to varanasi just to vote for modi ji,namoagain,heard couple come canada varanasi vote modi ji,heard couple come canada varanasi vote modi ji
6613,6613,i voted on tyltsports no one does a promo like ricflairnatrboy,natureboyftw,voted tyltsports one promo like ricflairnatrboy,voted tyltsports one promo like ricflairnatrboy
6614,6614,btstwt,army,btstwt,btstwt
6615,6615,kirenrijiju,namoagain2019,kirenrijiju,kirenrijiju
6617,6617,i already voted for fake love as this years international video of the year how about you,myxmusicawards2019,already voted fake love years international video year,already voted fake love year international video year
6618,6618,use your subpoena powerzgoddamn it these democrats are thick,ffs,use subpoena powerzgoddamn democrats thick,use subpoena powerzgoddamn democrat thick
6619,6619,this,justdoit,,
6620,6620,one week of peoples voice voting remains,webbyawards,one week peoples voice voting remains,one week people voice voting remains
6622,6622,vote for indonesias better,2019gantipresiden,vote indonesias better,vote indonesia better
6623,6623,shameful is not the word that comes to mind unlawful it is,arrestmnuchin,shameful word comes mind unlawful,shameful word come mind unlawful
6624,6624,rahul i am the greatest entitled brat in indiadhoni hold my bat,rrvcsk,rahul greatest entitled brat indiadhoni hold bat,rahul greatest entitled brat indiadhoni hold bat
6625,6625,mcconnell must go,turnsenateblue2020,mcconnell must go,mcconnell must go
6626,6626,canadas aoc is,climatebarbie,canadas aoc,canada aoc
6627,6627,can we please get the text released before advocate for an hr aoc ilhan,renew911vcf,please get text released advocate hr aoc ilhan,please get text released advocate hr aoc ilhan
6628,6628,arvindbarmer kindianu so phase i congress is,sibbal,arvindbarmer kindianu phase congress,arvindbarmer kindianu phase congress
6629,6629,do your thing,piratenation,thing,thing
6630,6630,pasti,hoaxselangormatamu,pasti,pasti
6631,6631,watson amendment is voted down 1715,txlege,watson amendment voted 1715,watson amendment voted 1715
6632,6632,i agree wholeheartedly these nut jobs need to be escorted out of,congress,agree wholeheartedly nut jobs need escorted,agree wholeheartedly nut job need escorted
6633,6633,i voted on tyltsports hiring should be merit based,earnednotgiven,voted tyltsports hiring merit based,voted tyltsports hiring merit based
6634,6634,drkumarvishwas,voteforindia,drkumarvishwas,drkumarvishwas
6635,6635,achhe din samjo yahi to he,namofornewindia,achhe din samjo yahi,achhe din samjo yahi
6636,6636,the more i hear about the democratic partys behaviour in congress the more i dislike them,thisiswhytrumpwon,hear democratic partys behaviour congress dislike,hear democratic party behaviour congress dislike
6637,6637,i just voted for grant williams for the wendys cast your vote here,woodenaward,voted grant williams wendys cast vote,voted grant williams wendys cast vote
6638,6638,good question also a good question how the hell did the people of mn vote her in to begin with,voterfraud,good question also good question hell people mn vote begin,good question also good question hell people mn vote begin
6639,6639,fam be sure to vote,goodgirls,fam sure vote,fam sure vote
6640,6640,will someone in congress gown a pair and get the and put his ass in jail,crookefobama,someone congress gown pair get put ass jail,someone congress gown pair get put as jail
6641,6641,i just voted for ja morant for the wendys cast your vote here,woodenaward,voted ja morant wendys cast vote,voted ja morant wendys cast vote
6642,6642,reup state congress pins hope on rahuls visit,odishapolls2019,reup state congress pins hope rahuls visit,reup state congress pin hope rahuls visit
6643,6643,i voted on tyltsports more diversity is needed,morewomeninthenfl,voted tyltsports diversity needed,voted tyltsports diversity needed
6645,6645,i just voted for cassius winston for the wendys cast your vote here,woodenaward,voted cassius winston wendys cast vote,voted cassius winston wendys cast vote
6646,6646,modi nam mumkin,namofornewindia,modi nam mumkin,modi nam mumkin
6648,6648,gas terus,uaspilihprabowo,gas terus,gas terus
6651,6651,sithabisomadon1 ourda proof that too many people appear to never learn to,votewisely,sithabisomadon1 ourda proof many people appear never learn,sithabisomadon1 ourda proof many people appear never learn
6654,6654,secularism for the majority fanaticism for the minorities long live india,fake_secularism,secularism majority fanaticism minorities long live india,secularism majority fanaticism minority long live india
6655,6655,i voted on tyltsports tyson would overpower ali,teamtyson,voted tyltsports tyson would overpower ali,voted tyltsports tyson would overpower ali
6656,6656,take out the could and replace with will i bet he comes to congress w the tax returns immediately,arrestmnuchin,take could replace bet comes congress w tax returns immediately,take could replace bet come congress w tax return immediately
6657,6657,i voted on tyltsports it has jumped the shark,2k19notworthit,voted tyltsports jumped shark,voted tyltsports jumped shark
6658,6658,wow what a pleasant person you are,trump2020,wow pleasant person,wow pleasant person
6659,6659,no matter what the gop leaders say,climatechangeisreal,matter gop leaders say,matter gop leader say
6660,6660,namo namo,phirekbaarmodisarkar,namo namo,namo namo
6662,6662,81 turnout in west bengalaugurs well for bjp4bengal the communists and tmc goons need to be defeated,indiaelections2019,81 turnout west bengalaugurs well bjp4bengal communists tmc goons need defeated,81 turnout west bengalaugurs well bjp4bengal communist tmc goon need defeated
6663,6663,and tell him he might as well change his last name to,ericswallowwell,tell might well change last name,tell might well change last name
6664,6664,so senatorromney how much did schumer pay you for your vote,numbchuck,senatorromney much schumer pay vote,senatorromney much schumer pay vote
6665,6665,rashidatlaib,yawn,rashidatlaib,rashidatlaib
6666,6666,nobody touching 100 mark edi fix bokkolo numbers cheppakandi,apelections2019,nobody touching 100 mark edi fix bokkolo numbers cheppakandi,nobody touching 100 mark edi fix bokkolo number cheppakandi
6667,6667,yes indeed,holdthefuckersaccountable,yes indeed,yes indeed
6668,6668,modi rally in lohardaga on april 23 times of india,ranchi,modi rally lohardaga april 23 times india,modi rally lohardaga april 23 time india
6670,6670,kami bersama ulama,uaspilihprabowo,kami bersama ulama,kami bersama ulama
6671,6671,lou dobbs is a senile member of the trump reich ministry of public enlightenment and propaganda,fauxnews,lou dobbs senile member trump reich ministry public enlightenment propaganda,lou dobbs senile member trump reich ministry public enlightenment propaganda
6672,6672,there needs to be a as campaign,losttheirway,needs campaign,need campaign
6673,6673,irajpootshubham,modihaitohmumkinhai,irajpootshubham,irajpootshubham
6674,6674,sudah jelas pilih yang jelas,uaspilihprabowo,sudah jelas pilih yang jelas,sudah jelas pilih yang jelas
6675,6675,i already voted for st4y up as this years music video of the year how about you,myxmusicawards2019,already voted st4y years music video year,already voted st4y year music video year
6676,6676,good show needs good actors dems not so much,qanon,good show needs good actors dems much,good show need good actor dems much
6677,6677,i voted and,imwithrachel,voted,voted
6678,6678,i already voted for buwan as this years song of the year how about you,myxmusicawards2019,already voted buwan years song year,already voted buwan year song year
6679,6679,she has no business in our country,oustilhanomar,business country,business country
6680,6680,allisonformd steveg1425 realsaavedra shaughna less than 2 years ago,factsmatter,allisonformd steveg1425 realsaavedra shaughna less 2 years ago,allisonformd steveg1425 realsaavedra shaughna le 2 year ago
6683,6683,i already voted for juan karlos as this years group of the year how about you,myxmusicawards2019,already voted juan karlos years group year,already voted juan karlos year group year
6684,6684,uah uas uai ubn uag pilih 02,uaspilihprabowo,uah uas uai ubn uag pilih 02,uah uas uai ubn uag pilih 02
6685,6685,uas,uaspilihprabowo,uas,uas
6686,6686,i voted on tyltsports and tictoc they bring in all the money,paystudentathletes,voted tyltsports tictoc bring money,voted tyltsports tictoc bring money
6687,6687,got7official,got7,got7official,got7official
6688,6688,i voted on tyltsports and tictoc umbc was a 16seed,retrieversovercavs,voted tyltsports tictoc umbc 16seed,voted tyltsports tictoc umbc 16seed
